127.0.0.1 - - [12/Jul/2020:12:26:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:26:15 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/ HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:26:22 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/showForm HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:26:32 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 887
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:21 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:27 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:43 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:43 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:44 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:28:44 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:18 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:18 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/ HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:20 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/showForm HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:25 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:29 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:30 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:30 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:30 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:31 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:31 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:31 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:29:36 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:32:38 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:32:39 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:32:48 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:32:49 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:18 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:18 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:23 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:23 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/ HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:24 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/showForm HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:28 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:33:32 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:34:03 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 889
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:34:04 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:34:09 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:36:52 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:37:06 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:38:27 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:41:40 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:42:33 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:42:46 +0530] "GET /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 863
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:42:51 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 222
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:42:59 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:43:14 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:43:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:43:24 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1051
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:45:24 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 500 3359
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:46:10 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 500 3359
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:46:24 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 500 3359
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:48:16 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:48:16 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:48:24 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2020:12:48:36 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [12/Jul/2020:13:09:18 +0530] "POST /spring-mvc-demo1_Form_Tags_and_Data_Binding/customer/processForm HTTP/1.1" 200 1169
